ticker,tags,daily_df,intraday_df,daily_len,intr_len,daily_peaks,daily_troughs,intr_peaks,intr_troughs,intr_top,intr_bottom,earnings_date,trade_details,sector,last_close,last_date,entry_price,entry_date
GIGB,['YTD_UP'],"                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  45.279999  ...  44.860001  44.860001
1   2025-04-24 13:30:00+00:00  45.150002  ...  45.625682  44.494317
2   2025-04-25 13:30:00+00:00  45.389999  ...  45.828647  44.571352
3   2025-04-28 13:30:00+00:00  45.441002  ...  45.933645  44.656355
4   2025-04-29 13:30:00+00:00  45.570000  ...  45.999892  44.729708
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  46.310001  ...  46.654928  46.192072
176 2026-01-05 14:30:00+00:00  46.279999  ...  46.648075  46.183925
177 2026-01-06 14:30:00+00:00  46.290001  ...  46.643486  46.176514
178 2026-01-07 14:30:00+00:00  46.509998  ...  46.643486  46.176514
179 2026-01-08 18:36:02+00:00  46.259998  ...  46.645003  46.169896

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  46.580002  ...  46.580002  46.580002
1   2025-12-29 14:35:00+00:00  46.580002  ...  46.580002  46.580002
2   2025-12-29 14:40:00+00:00  46.590000  ...  46.594880  46.571790
3   2025-12-29 15:00:00+00:00  46.570000  ...  46.604860  46.548543
4   2025-12-29 15:05:00+00:00  46.554001  ...  46.601958  46.544764
..                        ...        ...  ...        ...        ...
387 2026-01-08 18:10:00+00:00  46.284500  ...  46.318716  46.272464
388 2026-01-08 18:15:00+00:00  46.290001  ...  46.318197  46.273993
389 2026-01-08 18:20:00+00:00  46.290001  ...  46.317588  46.275602
390 2026-01-08 18:30:00+00:00  46.294800  ...  46.317279  46.275391
391 2026-01-08 18:36:02+00:00  46.293999  ...  46.316772  46.275138

[392 rows x 14 columns]",180,392,"[4, 46, 100, 130, 151, 172]","[0, 20, 31, 56, 90, 107, 117, 143, 174, 175]","[52, 151, 256, 312]","[65, 110, 268, 360, 361]",46.62480163574219,46.220001220703125,,{},,46.29399871826172,2026-01-08,,
GII,['YTD_DOWN'],"                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  63.540001  ...  63.240002  63.240002
1   2025-04-24 13:30:00+00:00  63.639999  ...  64.675662  62.554342
2   2025-04-25 13:30:00+00:00  64.110001  ...  64.570547  62.882789
3   2025-04-28 13:30:00+00:00  64.080002  ...  64.739974  62.985026
4   2025-04-29 13:30:00+00:00  64.250000  ...  64.775222  63.104778
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  70.099998  ...  71.264157  69.191841
176 2026-01-05 14:30:00+00:00  70.540001  ...  71.137472  69.230526
177 2026-01-06 14:30:00+00:00  70.470001  ...  71.090082  69.229917
178 2026-01-07 14:30:00+00:00  70.379997  ...  71.074171  69.189827
179 2026-01-08 17:59:45+00:00  69.910004  ...  71.077119  69.191380

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  70.029999  ...  70.269997  70.269997
1   2025-12-29 14:45:00+00:00  70.195000  ...  70.324847  70.155149
2   2025-12-29 14:50:00+00:00  70.230003  ...  70.297764  70.175569
3   2025-12-29 14:55:00+00:00  70.239998  ...  70.286566  70.173433
4   2025-12-29 15:05:00+00:00  70.220001  ...  70.281797  70.182202
..                        ...        ...  ...        ...        ...
276 2026-01-08 17:15:00+00:00  70.180000  ...  70.428047  69.793724
277 2026-01-08 17:25:00+00:00  70.180000  ...  70.365584  69.910187
278 2026-01-08 17:35:00+00:00  70.230003  ...  70.312255  70.009517
279 2026-01-08 17:45:00+00:00  70.199997  ...  70.277600  70.073671
280 2026-01-08 17:59:45+00:00  70.224998  ...  70.282678  70.077093

[281 rows x 14 columns]",180,281,"[35, 46, 62, 84, 99, 121, 129, 141, 152]","[0, 40, 94, 118, 135, 147, 167]","[27, 30, 72, 100, 127, 145, 152, 190, 227, 264]","[41, 91, 115, 157, 205, 257]",70.62000274658203,69.54010009765625,,{},,70.2249984741211,2026-01-08,,
GILD,['YTD_DOWN'],"                         Date        Open  ...    BB_upper    BB_lower
0   2025-04-23 13:30:00+00:00  105.949997  ...  106.379997  106.379997
1   2025-04-24 13:30:00+00:00  106.110001  ...  106.590262  105.939736
2   2025-04-25 13:30:00+00:00  102.680000  ...  108.814525  101.652140
3   2025-04-28 13:30:00+00:00  103.860001  ...  108.636445  102.383552
4   2025-04-29 13:30:00+00:00  105.680000  ...  108.196691  102.303306
..                        ...         ...  ...         ...         ...
175 2026-01-02 14:30:00+00:00  122.489998  ...  126.408396  118.308604
176 2026-01-05 14:30:00+00:00  120.769997  ...  126.576289  117.708712
177 2026-01-06 14:30:00+00:00  118.220001  ...  126.577595  117.721406
178 2026-01-07 14:30:00+00:00  122.339996  ...  126.816214  117.798786
179 2026-01-08 18:25:30+00:00  124.080002  ...  126.730947  118.038053

[180 rows x 14 columns]","                         Date        Open  ...    BB_upper    BB_lower
0   2025-12-29 14:30:00+00:00  124.779999  ...  124.980003  124.980003
1   2025-12-29 14:35:00+00:00  124.850098  ...  125.002860  124.932145
2   2025-12-29 14:40:00+00:00  124.971603  ...  125.011054  124.938948
3   2025-12-29 14:45:00+00:00  124.980003  ...  125.201440  124.598563
4   2025-12-29 14:50:00+00:00  124.750000  ...  125.235191  124.426811
..                        ...         ...  ...         ...         ...
588 2026-01-08 18:05:00+00:00  121.195000  ...  122.254036  121.060503
589 2026-01-08 18:10:00+00:00  121.160004  ...  122.246620  120.958419
590 2026-01-08 18:15:00+00:00  120.955002  ...  122.188987  120.884052
591 2026-01-08 18:20:00+00:00  120.885002  ...  122.111770  120.839019
592 2026-01-08 18:25:30+00:00  120.900002  ...  122.058403  120.783386

[593 rows x 14 columns]",180,593,"[5, 32, 53, 64, 75, 97, 125, 146, 170]","[12, 43, 59, 72, 73, 88, 100, 112, 130, 139, 164, 176]","[77, 150, 398, 470, 543]","[90, 163, 236, 331, 466]",124.9010009765625,116.88999938964844,,{},,120.9000015258789,2026-01-08,,
GIS,"['DAILY_BOTTOM', 'QUARTERLY_DOWN', 'RSI_OVERSOLD', 'YTD_DOWN']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  57.580002  ...  57.279999  57.279999
1   2025-04-24 13:30:00+00:00  57.200001  ...  58.093648  55.576350
2   2025-04-25 13:30:00+00:00  56.590000  ...  57.801720  55.404945
3   2025-04-28 13:30:00+00:00  56.080002  ...  57.688305  55.091694
4   2025-04-29 13:30:00+00:00  55.860001  ...  57.486673  55.197326
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  46.480000  ...  48.537343  44.992656
176 2026-01-05 14:30:00+00:00  45.540001  ...  48.731881  44.637119
177 2026-01-06 14:30:00+00:00  44.369999  ...  48.973606  44.186394
178 2026-01-07 14:30:00+00:00  43.959999  ...  49.315178  43.543822
179 2026-01-08 18:38:18+00:00  43.000000  ...  49.415109  43.279891

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  47.240002  ...  47.279999  47.279999
1   2025-12-29 14:35:00+00:00  47.279999  ...  47.476555  46.868443
2   2025-12-29 14:40:00+00:00  47.049999  ...  47.408130  46.821802
3   2025-12-29 14:45:00+00:00  46.980000  ...  47.390248  46.882202
4   2025-12-29 14:50:00+00:00  47.230000  ...  47.393048  46.918912
..                        ...        ...  ...        ...        ...
592 2026-01-08 18:20:00+00:00  43.994999  ...  44.047851  43.814679
593 2026-01-08 18:25:00+00:00  44.020000  ...  44.058641  43.817889
594 2026-01-08 18:30:00+00:00  44.014999  ...  44.074822  43.821208
595 2026-01-08 18:35:00+00:00  44.064999  ...  44.079215  43.822315
596 2026-01-08 18:38:18+00:00  44.000000  ...  44.084160  43.825370

[597 rows x 14 columns]",180,597,"[0, 17, 32, 48, 62, 106, 115, 126, 148, 166]","[15, 44, 60, 69, 88, 99, 137, 159, 178]",[299],[248],46.29999923706055,45.6349983215332,,"{'DAILY_BOTTOM': {'sl': np.float64(42.10071236746652), 'tp': np.float64(47.79857526506696), 'entry': 44.0, 'desc': 'Daily bottom confirmed near $42.94. Entry (long): $44.00.'}}",,44.0,2026-01-08,,
GJAN,"['RSI_OVERBOUGHT', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  36.990002  ...  36.882000  36.882000
1   2025-04-24 13:30:00+00:00  36.919998  ...  37.643855  36.518144
2   2025-04-25 13:30:00+00:00  37.279999  ...  37.760268  36.632397
3   2025-04-28 13:30:00+00:00  37.529999  ...  37.778199  36.736299
4   2025-04-29 13:30:00+00:00  37.290001  ...  37.845305  36.791094
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  42.930000  ...  42.977922  42.296079
176 2026-01-05 14:30:00+00:00  42.939999  ...  43.011149  42.306851
177 2026-01-06 14:30:00+00:00  42.900002  ...  43.048593  42.313408
178 2026-01-07 14:30:00+00:00  42.939999  ...  43.079942  42.330059
179 2026-01-08 18:14:43+00:00  42.990002  ...  43.097675  42.364325

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  42.880001  ...  42.880001  42.880001
1   2025-12-29 14:35:00+00:00  42.860001  ...  42.898286  42.841716
2   2025-12-29 14:40:00+00:00  42.855000  ...  42.891459  42.838542
3   2025-12-29 14:45:00+00:00  42.840000  ...  42.891792  42.825709
4   2025-12-29 15:15:00+00:00  42.840000  ...  42.888167  42.821833
..                        ...        ...  ...        ...        ...
169 2026-01-08 17:05:00+00:00  42.984001  ...  42.991721  42.934825
170 2026-01-08 17:25:00+00:00  42.990002  ...  42.995346  42.935190
171 2026-01-08 17:35:00+00:00  42.959999  ...  42.995101  42.936435
172 2026-01-08 17:55:00+00:00  42.989899  ...  42.998259  42.935767
173 2026-01-08 18:14:43+00:00  42.950001  ...  42.998420  42.934106

[174 rows x 14 columns]",180,174,[18],[0],"[0, 90, 130, 146, 164]","[11, 75, 113, 155, 173]",42.9900016784668,42.790000915527344,,{},,42.95000076293945,2026-01-08,,
GLD,"['HALFYEARLY_UP', 'MONTHLY_UP', 'QUARTERLY_UP', 'YEARLY_UP', 'YTD_UP']","                         Date        Open  ...    BB_upper    BB_lower
0   2024-07-24 13:30:00+00:00  223.470001  ...  221.800003  221.800003
1   2024-07-25 13:30:00+00:00  219.020004  ...  224.972325  215.157680
2   2024-07-26 13:30:00+00:00  219.960007  ...  223.784136  216.722537
3   2024-07-29 13:30:00+00:00  221.259995  ...  223.153661  217.386348
4   2024-07-30 13:30:00+00:00  221.410004  ...  223.927278  217.512730
..                        ...         ...  ...         ...         ...
360 2025-12-30 14:30:00+00:00  403.600006  ...  415.922420  377.561583
361 2025-12-31 14:30:00+00:00  398.600006  ...  415.851700  378.539303
362 2026-01-02 14:30:00+00:00  401.619995  ...  415.780256  379.750747
363 2026-01-05 14:30:00+00:00  406.390015  ...  416.770210  380.923794
364 2026-01-06 18:46:40+00:00  406.390015  ...  418.087970  382.224032

[365 rows x 14 columns]","                         Date        Open  ...    BB_upper    BB_lower
0   2025-12-24 14:30:00+00:00  412.250000  ...  412.559998  412.559998
1   2025-12-24 14:35:00+00:00  412.575012  ...  413.867316  409.822686
2   2025-12-24 14:40:00+00:00  411.100006  ...  413.280093  410.419899
3   2025-12-24 14:45:00+00:00  411.904205  ...  413.026282  410.343713
4   2025-12-24 14:50:00+00:00  411.160004  ...  413.049333  409.818660
..                        ...         ...  ...         ...         ...
557 2026-01-06 18:30:00+00:00  412.450012  ...  413.015836  412.262044
558 2026-01-06 18:35:00+00:00  412.260010  ...  413.015953  412.233928
559 2026-01-06 18:40:00+00:00  412.409912  ...  413.013073  412.214857
560 2026-01-06 18:45:00+00:00  412.459991  ...  413.006963  412.207966
561 2026-01-06 18:46:40+00:00  412.619995  ...  413.002569  412.206360

[562 rows x 14 columns]",365,562,[311],[176],"[197, 356, 438, 513]","[129, 192, 341, 505]",412.6300048828125,395.6700134277344,,{},,412.6199951171875,2026-01-06,,
GLDM,"['HALFYEARLY_UP', 'MONTHLY_UP', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  65.349998  ...  65.260002  65.260002
1   2025-04-24 13:30:00+00:00  65.959999  ...  67.040221  64.409783
2   2025-04-25 13:30:00+00:00  64.820000  ...  66.616512  64.643493
3   2025-04-28 13:30:00+00:00  65.389999  ...  66.918088  64.716914
4   2025-04-29 13:30:00+00:00  65.709999  ...  66.762083  64.853917
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  86.459999  ...  89.502294  81.743707
176 2026-01-05 14:30:00+00:00  87.510002  ...  89.716803  81.996198
177 2026-01-06 14:30:00+00:00  88.430000  ...  90.028597  82.261403
178 2026-01-07 14:30:00+00:00  87.970001  ...  90.077002  82.725999
179 2026-01-08 18:39:45+00:00  87.589996  ...  90.086987  83.183654

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  86.900002  ...  86.699997  86.699997
1   2025-12-29 14:35:00+00:00  86.699997  ...  86.853396  86.378805
2   2025-12-29 14:40:00+00:00  86.504997  ...  86.778404  86.409732
3   2025-12-29 14:45:00+00:00  86.550003  ...  86.757789  86.448312
4   2025-12-29 14:50:00+00:00  86.599998  ...  86.759721  86.389159
..                        ...        ...  ...        ...        ...
592 2026-01-08 18:20:00+00:00  88.139999  ...  88.370646  88.145103
593 2026-01-08 18:25:00+00:00  88.180000  ...  88.385973  88.115276
594 2026-01-08 18:30:00+00:00  88.120003  ...  88.387914  88.098335
595 2026-01-08 18:35:00+00:00  88.095001  ...  88.392452  88.067297
596 2026-01-08 18:39:45+00:00  88.046402  ...  88.396950  88.038439

[597 rows x 14 columns]",180,597,"[124, 141]",[135],"[0, 78, 237, 319, 394, 467]","[10, 73, 222, 386, 477]",88.98500061035156,85.19499969482422,,{},,88.04640197753906,2026-01-08,,
GLOV,['YTD_UP'],"                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  51.389999  ...  50.825001  50.825001
1   2025-04-24 13:30:00+00:00  50.705002  ...  51.791681  50.363322
2   2025-04-25 13:30:00+00:00  51.200001  ...  51.763340  50.573328
3   2025-04-28 13:30:00+00:00  51.340000  ...  51.917042  50.630459
4   2025-04-29 13:30:00+00:00  51.590000  ...  52.156062  50.625938
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  57.939999  ...  58.296602  57.246198
176 2026-01-05 14:30:00+00:00  57.700001  ...  58.308236  57.264064
177 2026-01-06 14:30:00+00:00  57.966000  ...  58.343023  57.274377
178 2026-01-07 14:30:00+00:00  58.250000  ...  58.343976  57.313424
179 2026-01-08 18:06:24+00:00  58.095001  ...  58.332582  57.420819

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  58.009998  ...  58.009998  58.009998
1   2025-12-29 15:15:00+00:00  58.099998  ...  58.182278  57.927719
2   2025-12-29 15:50:00+00:00  58.099998  ...  58.180523  57.964140
3   2025-12-29 16:15:00+00:00  58.057877  ...  58.158231  57.979205
4   2025-12-29 16:30:00+00:00  58.136398  ...  58.180610  57.983898
..                        ...        ...  ...        ...        ...
127 2026-01-08 17:25:00+00:00  58.060699  ...  58.197243  57.900201
128 2026-01-08 17:30:00+00:00  58.040001  ...  58.199203  57.902991
129 2026-01-08 17:50:00+00:00  58.099998  ...  58.203680  57.904514
130 2026-01-08 18:05:00+00:00  58.160000  ...  58.222508  57.899686
131 2026-01-08 18:06:24+00:00  58.189999  ...  58.238983  57.896210

[132 rows x 14 columns]",180,132,"[18, 49, 62, 97, 114, 129, 141, 152]","[0, 40, 56, 69, 90, 118, 135, 147]","[4, 28, 104, 130, 131]","[10, 74, 120]",58.25,57.49720001220703,,{},,58.189998626708984,2026-01-08,,
GLTR,"['DAILY_TOP', 'HALFYEARLY_UP', 'MONTHLY_UP', 'QUARTERLY_UP', 'YTD_UP']","                         Date        Open  ...    BB_upper    BB_lower
0   2025-04-23 13:30:00+00:00  132.940002  ...  133.250000  133.250000
1   2025-04-24 13:30:00+00:00  134.130005  ...  135.776776  132.043231
2   2025-04-25 13:30:00+00:00  132.100006  ...  135.322006  131.844661
3   2025-04-28 13:30:00+00:00  133.360001  ...  135.455573  132.139429
4   2025-04-29 13:30:00+00:00  134.220001  ...  135.226815  132.081186
..                        ...         ...  ...         ...         ...
175 2026-01-02 14:30:00+00:00  211.220001  ...  221.371305  181.343696
176 2026-01-05 14:30:00+00:00  215.800003  ...  222.568610  183.064392
177 2026-01-06 14:30:00+00:00  219.830002  ...  225.109314  184.080687
178 2026-01-07 14:30:00+00:00  216.850006  ...  225.912350  186.396650
179 2026-01-08 18:26:28+00:00  213.380005  ...  226.187414  188.568785

[180 rows x 14 columns]","                         Date        Open  ...    BB_upper    BB_lower
0   2025-12-29 14:30:00+00:00  210.699997  ...  200.169998  200.169998
1   2025-12-29 14:35:00+00:00  199.899994  ...  217.713782  191.791223
2   2025-12-29 14:40:00+00:00  209.059998  ...  217.286732  195.576600
3   2025-12-29 14:45:00+00:00  210.350006  ...  217.073689  197.727207
4   2025-12-29 14:50:00+00:00  210.449997  ...  216.690205  199.218511
..                        ...         ...  ...         ...         ...
536 2026-01-08 18:00:00+00:00  216.490005  ...  216.936484  215.576736
537 2026-01-08 18:10:00+00:00  215.850006  ...  216.885726  215.663495
538 2026-01-08 18:15:00+00:00  215.940002  ...  216.872715  215.690505
539 2026-01-08 18:20:00+00:00  215.399994  ...  216.909516  215.638525
540 2026-01-08 18:26:28+00:00  215.451996  ...  216.969256  215.500464

[541 rows x 14 columns]",180,541,"[121, 177]",[],"[3, 215, 429, 497]","[0, 204, 352, 439, 499]",223.1300048828125,200.1699981689453,,"{'DAILY_TOP': {'sl': np.float64(231.01072365897042), 'tp': np.float64(184.33454023088728), 'entry': 215.45199584960938, 'desc': 'Daily top confirmed near $223.96. Entry (short): $215.45.'}}",,215.45199584960938,2026-01-08,,
GM,"['BREAKOUT_UP', 'HALFYEARLY_UP', 'MONTHLY_UP', 'NINE_DAY_HIGH', 'QUARTERLY_UP', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  46.500000  ...  45.840000  45.840000
1   2025-04-24 13:30:00+00:00  46.209999  ...  47.830784  44.889217
2   2025-04-25 13:30:00+00:00  46.540001  ...  47.963367  45.256634
3   2025-04-28 13:30:00+00:00  47.200001  ...  48.039495  45.495507
4   2025-04-29 13:30:00+00:00  45.910000  ...  47.914332  45.689669
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  81.410004  ...  85.761621  75.618380
176 2026-01-05 14:30:00+00:00  80.540001  ...  85.578120  76.587881
177 2026-01-06 14:30:00+00:00  82.699997  ...  85.227605  77.551396
178 2026-01-07 14:30:00+00:00  82.099998  ...  84.454960  78.944041
179 2026-01-08 18:29:35+00:00  82.800003  ...  84.276056  79.897946

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  83.070000  ...  83.235001  83.235001
1   2025-12-29 14:35:00+00:00  83.209999  ...  83.500123  82.679877
2   2025-12-29 14:40:00+00:00  82.940002  ...  83.367692  82.758977
3   2025-12-29 14:45:00+00:00  82.995003  ...  83.313597  82.816404
4   2025-12-29 14:50:00+00:00  83.059998  ...  83.299534  82.756465
..                        ...        ...  ...        ...        ...
590 2026-01-08 18:10:00+00:00  84.809898  ...  85.033699  84.023211
591 2026-01-08 18:15:00+00:00  84.750000  ...  85.030943  84.092966
592 2026-01-08 18:20:00+00:00  84.754997  ...  85.048926  84.135483
593 2026-01-08 18:25:00+00:00  84.839996  ...  85.079699  84.164711
594 2026-01-08 18:29:35+00:00  84.910004  ...  85.099813  84.206598

[595 rows x 14 columns]",180,595,[130],[118],"[0, 300, 377, 458, 588]","[8, 157, 241, 316, 406, 475, 535]",85.11499786376953,79.9000015258789,,"{'BREAKOUT_UP': {'sl': np.float64(81.64857210431781), 'tp': np.float64(91.43286677769251), 'entry': 84.91000366210938, 'desc': 'Breakout above 20-day high ($83.15). Entry: $84.91.'}}",,84.91000366210938,2026-01-08,,
GMAR,"['RSI_OVERBOUGHT', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  36.410000  ...  36.240002  36.240002
1   2025-04-24 13:30:00+00:00  36.360001  ...  37.158823  35.801180
2   2025-04-25 13:30:00+00:00  36.759998  ...  37.268178  35.951824
3   2025-04-28 13:30:00+00:00  36.910000  ...  37.300466  36.069535
4   2025-04-29 13:30:00+00:00  36.830002  ...  37.344765  36.147236
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  40.959999  ...  41.051463  40.533237
176 2026-01-05 14:30:00+00:00  40.980000  ...  41.069067  40.551632
177 2026-01-06 14:30:00+00:00  41.009998  ...  41.092705  40.564395
178 2026-01-07 14:30:00+00:00  41.029999  ...  41.105620  40.587480
179 2026-01-08 18:25:38+00:00  41.020000  ...  41.115641  40.613759

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  40.980000  ...  40.980000  40.980000
1   2025-12-29 14:35:00+00:00  40.939999  ...  41.016569  40.903429
2   2025-12-29 15:10:00+00:00  40.919998  ...  41.007768  40.885563
3   2025-12-29 15:15:00+00:00  40.941200  ...  40.995488  40.895111
4   2025-12-29 15:40:00+00:00  40.930000  ...  40.987807  40.896672
..                        ...        ...  ...        ...        ...
140 2026-01-08 17:10:00+00:00  41.009998  ...  41.058229  40.986661
141 2026-01-08 17:20:00+00:00  41.025501  ...  41.058537  40.987902
142 2026-01-08 18:10:00+00:00  41.020000  ...  41.058537  40.987902
143 2026-01-08 18:25:00+00:00  41.009998  ...  41.058567  40.987083
144 2026-01-08 18:25:38+00:00  41.009998  ...  41.058511  40.986139

[145 rows x 14 columns]",180,145,[18],[0],"[0, 26, 27, 59, 94, 126]","[2, 7, 8, 9, 10, 11, 12, 47, 64, 67, 83, 84, 85, 133]",41.06990051269531,40.91999816894531,,{},,41.0099983215332,2026-01-08,,
GMAY,"['RSI_OVERBOUGHT', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  35.520000  ...  35.119999  35.119999
1   2025-04-24 13:30:00+00:00  35.090000  ...  35.998622  34.700375
2   2025-04-25 13:30:00+00:00  35.540001  ...  36.107208  34.842792
3   2025-04-28 13:30:00+00:00  35.820000  ...  36.107637  34.964863
4   2025-04-29 13:30:00+00:00  35.689999  ...  36.180904  35.025096
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  41.389999  ...  41.442403  40.880897
176 2026-01-05 14:30:00+00:00  41.410000  ...  41.466286  40.892013
177 2026-01-06 14:30:00+00:00  41.439999  ...  41.502118  40.893682
178 2026-01-07 14:30:00+00:00  41.439999  ...  41.523802  40.911998
179 2026-01-08 18:33:13+00:00  41.410000  ...  41.542569  40.929231

[180 rows x 14 columns]","                        Date       Open  ...   BB_upper   BB_lower
0  2025-12-29 14:30:00+00:00  41.419998  ...  41.419998  41.419998
1  2025-12-29 14:45:00+00:00  41.369999  ...  41.465708  41.324289
2  2025-12-29 15:15:00+00:00  41.320000  ...  41.473301  41.263432
3  2025-12-29 15:25:00+00:00  41.320000  ...  41.454662  41.257887
4  2025-12-29 16:20:00+00:00  41.320000  ...  41.440194  41.257845
..                       ...        ...  ...        ...        ...
58 2026-01-07 20:40:00+00:00  41.400101  ...  41.469279  41.359369
59 2026-01-08 14:30:00+00:00  41.439999  ...  41.469724  41.365924
60 2026-01-08 15:50:00+00:00  41.400002  ...  41.467161  41.371367
61 2026-01-08 16:00:00+00:00  41.415001  ...  41.464492  41.378037
62 2026-01-08 18:33:13+00:00  41.410000  ...  41.459668  41.386861

[63 rows x 14 columns]",180,63,"[17, 18]",[0],"[0, 55]","[6, 26, 27, 60]",41.448001861572266,41.27000045776367,,{},,41.40999984741211,2026-01-08,,
GME,"['MONTHLY_DOWN', 'QUARTERLY_DOWN', 'RECENT_WEEKLY_BOTTOM', 'YTD_UP']","                         Date       Open  ...   BB_upper   BB_lower
0   2025-04-23 13:30:00+00:00  28.200001  ...  27.120001  27.120001
1   2025-04-24 13:30:00+00:00  27.100000  ...  27.156570  27.043431
2   2025-04-25 13:30:00+00:00  27.129999  ...  27.637611  26.802389
3   2025-04-28 13:30:00+00:00  27.400000  ...  27.815656  26.809344
4   2025-04-29 13:30:00+00:00  27.450001  ...  27.740269  26.863731
..                        ...        ...  ...        ...        ...
175 2026-01-02 14:30:00+00:00  20.260000  ...  23.852049  19.903952
176 2026-01-05 14:30:00+00:00  20.650000  ...  23.737514  19.795486
177 2026-01-06 14:30:00+00:00  20.629999  ...  23.589782  19.709218
178 2026-01-07 14:30:00+00:00  21.650000  ...  23.318069  19.774932
179 2026-01-08 18:24:15+00:00  21.200001  ...  23.067338  19.837662

[180 rows x 14 columns]","                         Date       Open  ...   BB_upper   BB_lower
0   2025-12-29 14:30:00+00:00  21.040001  ...  21.190001  21.190001
1   2025-12-29 14:35:00+00:00  21.190001  ...  21.206915  21.154585
2   2025-12-29 14:40:00+00:00  21.170000  ...  21.269002  21.021998
3   2025-12-29 14:45:00+00:00  21.070000  ...  21.272502  20.958248
4   2025-12-29 14:50:00+00:00  21.020000  ...  21.274429  20.898251
..                        ...        ...  ...        ...        ...
588 2026-01-08 18:05:00+00:00  21.299999  ...  21.430418  21.262272
589 2026-01-08 18:10:00+00:00  21.264999  ...  21.437478  21.237712
590 2026-01-08 18:15:00+00:00  21.215000  ...  21.439900  21.223269
591 2026-01-08 18:20:00+00:00  21.235001  ...  21.438963  21.209126
592 2026-01-08 18:24:15+00:00  21.230000  ...  21.437131  21.196968

[593 rows x 14 columns]",180,593,"[5, 23, 46, 61, 111, 158]","[10, 35, 36, 50, 69, 147, 162, 174]","[0, 97, 376, 485, 541]","[87, 180, 229, 318, 324, 551]",21.975000381469727,20.010000228881836,,{},,21.229999542236328,2026-01-08,,
